,rms_angle_error,rms_angle_error_rad,rms_rate_error,rms_human_torque,rms_robot_torque,rms_human_power,rms_robot_power,human_angle_cost,robot_angle_cost,human_angle_gain,robot_angle_gain,system_angle_cost,system_angle_gain,authority,condition,condition_number,repetition,cost_variability,rms_estimated_human_torque,settings,participant,conflict
30,5.8126543003973845,0.1014499558221419,0.4760353969589331,0.36242342464622307,0.2687917811928354,0.24226952206982144,0.2895266342069009,4.744790861454126,7.255209138545874,0.9999434000153344,1.873324022286279,11.99992539592479,2.95602970021423,-0.5162346102859126,Negative Reinforcement,2,0,271.6698965333658,0.1670372684917483,Good Visuals,2,0.465620559708408
31,6.1763190124163145,0.10779710242018921,0.555286008764411,0.4328225005635813,0.18611070442670039,0.3298609303858732,0.1999024995517947,7.916755805632278,4.08342218825721,2.1187229920146784,0.8090456381976119,12.000020682701763,2.931423772665762,0.12453064681113418,Negative Reinforcement,2,1,265.2350323106949,0.23375787268716697,Good Visuals,2,0.4311638779527559
32,6.5837241455467925,0.11490766338284189,0.6162850599302274,0.4771089154733736,0.22131275341185064,0.38789083963910037,0.256813809388424,7.811749150260267,4.187848746654179,2.0802754448859573,0.8378259376145439,12.000251422110727,2.9578322409987603,-0.016181357267708144,Negative Reinforcement,2,2,259.0204696423579,0.2617032629138152,Good Visuals,2,0.47153212316461185
33,6.311837050938979,0.11016233838825422,0.5192994387795691,0.37066999395252553,0.2994424982253635,0.1866018956293976,0.35170679598981897,4.378103063228653,7.622163145828151,0.8915480140745484,2.0097041424106457,12.00016198622907,2.9061668314609035,-0.53902556170452,Negative Reinforcement,2,3,251.90671218315524,0.1276201735388429,Good Visuals,2,0.48045693115159
38,4.729644981332715,0.08254787737468162,0.3451838591741594,0.28055512501413,0.519046828841213,0.1710182452460721,0.6397171066334512,-14.090020252740292,12.0,-1.5434147689320576,5.335792538771379,-2.0900202527402927,3.792336196956723,-1.5085022937919987,Negative Reinforcement,2,2,232.30047252528325,0.1243134014580373,Good Visuals,3,0.7375919117647058
39,4.678475070529788,0.08165479395321873,0.34922739947146336,0.25352931410660146,0.4885997542068282,0.15377762984329824,0.6339409828626603,-10.561941303011938,12.0,-1.2303482071501648,4.906454403066539,1.4380586969880627,3.6758796860535754,-1.46929757275978,Negative Reinforcement,2,3,229.63899268908398,0.10468137842863351,Good Visuals,3,0.6718006511394942
42,8.645005531094764,0.15088381037072465,0.6043206626817034,0.3284379912353527,0.24944109367710274,0.22883507834834285,0.27255909979614446,4.275941763722571,4.515851595827307,1.1612624571355017,1.2603743058972334,8.788652231445784,2.421644732584081,-0.278665192235927,Positive Reinforcement,1,0,215.05947179673467,0.154768718060333,Good Visuals,3,0.4398403928790669
43,9.61535788780054,0.16781965389972692,0.616187925348268,0.27263688044253354,0.24485951134731448,0.1754617219603235,0.26403137405238003,2.2278849594839274,2.467983923835743,0.8177898690867739,0.9532797003387805,4.696510217999586,1.770965418881381,-0.359600689179543,Positive Reinforcement,1,1,210.21453167975068,0.13168056888099924,Good Visuals,3,0.42245299250337964
44,8.546102900986671,0.1491576338364564,0.5824500890693887,0.3051571989994327,0.2524106234931031,0.23095693852200616,0.27406988015045536,3.622946129633662,3.862987473190176,1.0635083334140638,1.1708511255755971,7.483085261578584,2.2342858137339565,-0.2862795198731637,Positive Reinforcement,1,2,205.70757172102583,0.15304362772026045,Good Visuals,3,0.4043571647744707
45,8.019633819434011,0.1399690149534119,0.5682204872987762,0.31788745069714885,0.25131208956388207,0.22662417617617592,0.2946801225147721,4.3302559498922975,4.569598529923444,1.1690556083064987,1.2674899036048601,8.899329918270023,2.436584999748313,-0.26246710007702634,Positive Reinforcement,1,3,201.48114071585317,0.15779487522587934,Good Visuals,3,0.4224116781157998
46,5.144462120533703,0.0897878022474425,0.3831126848884854,0.27001779508884577,0.48841767314880996,0.12598534006657597,0.6125625436737138,-7.804749858917235,12.0,-0.9579258431305948,4.552003425124392,4.195250141082765,3.5941603265500044,-1.32400729388358,Negative Reinforcement,2,0,198.81109630859194,0.0861572558102354,Good Visuals,3,0.6980531636091352
47,4.156227909395742,0.07253986148223628,0.2947566929597981,0.29562432840879727,0.5589586038029751,0.23193016779781372,0.7072997406109406,-26.911639300242747,12.0,-2.4574348552527505,6.703948105018022,-14.911639300242745,4.246444318739801,-1.762207467401328,Negative Reinforcement,2,1,210.35623705230645,0.16739640690116767,Good Visuals,3,0.7715429588205389
48,6.143029822457739,0.10721609645009025,0.6587942796416074,0.5674805659404872,0.2990329227421876,0.25151034184615323,0.3944264403729074,10.103515153985438,10.343107557964748,1.813679962433362,1.8786416945304227,20.448751200280142,3.6923351022039084,-0.27473142459285227,Positive Reinforcement,1,0,208.00764501055616,0.18163495723774412,Good Visuals,4,0.5418039790064689
