,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,robot_gain_pos,robot_gain_vel,torque
1160,4.946207300000001,0.6715154297048181,1.0171049391967615,-0.09760688313915378,0.014542633637084856,-0.8488311501266046,0.7732437667905688,0.999082669190208,0,0.0040696000000000005,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.6020403331826152
1161,4.9507431,0.675599500154485,1.0372104485675449,-0.09764426663608383,0.0381277793773368,-0.4216605721875265,0.7778203018532548,0.9950015877991689,0,0.0045358,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5935208485331969
1162,4.955150100000001,0.6806260484002287,1.0433699053649683,-0.09719425345302612,0.0483683175657994,-0.4601782042400536,0.7822487600085072,0.9908295491319261,0,0.004407,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5846700941160041
1163,4.9597452,0.6848671984825748,1.039303328059138,-0.09738156152593236,0.04847377892721183,-0.5723612701588949,0.7868462274629012,0.9862601861333515,0,0.0045951,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5795568826484017
1164,4.965840900000001,0.690050826360998,1.0369146146493873,-0.09679540110190321,0.05065442851603574,-0.5362218265554277,0.7929117958836864,0.9798496130691865,0,0.006095700000000001,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5806892622463911
1165,4.968688600000001,0.6941348968106646,1.0425157899802469,-0.09877689907302178,0.06266617691106036,-0.35903809208371823,0.7957317963744414,0.9767172133328855,0,0.0028477000000000003,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5783314874983394
1166,4.9727617,0.698061887627652,1.0436844020664788,-0.09766990874678938,0.06696718873359331,-0.43457685332503876,0.7997495334888546,0.9720833803850029,0,0.0040731000000000005,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5810095993485985
1167,4.976761300000001,0.7023030377099982,1.028433960492596,-0.09744649577885633,0.056350580107593196,-0.8889739949481346,0.8036760923714052,0.9673562068970497,0,0.0039996,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5757796182063182
1168,4.9824733000000005,0.7074866655884213,1.0167386573874522,-0.09618942678298392,0.04938245049040246,-1.0646198991917384,0.8092502830777751,0.9602988059195732,0,0.005712,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5797239118746684
1169,4.9856848000000005,0.7114136564054085,1.0212618661236839,-0.09783662667236659,0.060963060204110686,-0.9111812653026371,0.8123663109516609,0.9561715744482665,0,0.0032115000000000004,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.5786144221595175
