,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
5057,25.081417000000002,0.364424747816416,0.4557092991016196,-0.04380903886742793,-0.05777629832989939,1.5779683938158826,0.41007526863114335,0.518899236376343,0,0.0035674,1,Manual Control,0.01,0,-1.1567311039082804,0.0,0,0,0.3075782685123991,-0.07959016117708222,-0.05162808875125748,-0.44966501517367446,0,0,1.338026846748869,0.12678872929379342
5058,25.0867712,0.3672521812046468,0.43852578297231026,-0.04282308742649654,-0.08037345340403279,1.6811109218765237,0.41287506329676604,0.5269067088557566,0,0.0053542,1,Manual Control,0.01,0,-1.1545748768943283,0.0,0,0,0.30960829895222497,-0.07745401290831064,-0.051298449134921494,-0.45104971300238483,0,0,1.3330431463555532,0.12655238630773188
5059,25.0916414,0.36945129606215965,0.4653844119618176,-0.04342376723460639,-0.06152229689393901,1.943354403393625,0.41545865332908977,0.5340479023765801,0,0.0048702,1,Manual Control,0.01,0,-1.152556414780163,0.0,0,0,0.31152223876110663,-0.0757037685182763,-0.05172230614649103,-0.4712026556499811,0,0,1.328386289250903,0.1263311436648065
5060,25.096737100000002,0.37180749055235196,0.4644383895942938,-0.043651162776737806,-0.06960951278228628,2.1606160152114624,0.4181986876441081,0.5413514825751997,0,0.005095700000000001,1,Manual Control,0.01,0,-1.1504148534833916,0.0,0,0,0.3134644545931828,-0.07357159926189237,-0.05207096239479036,-0.48577293475371397,0,0,1.3234543351152133,0.1260964081808163
5061,25.1028972,0.37400660540986486,0.46064667390795744,-0.04419208223424326,-0.08070480866724228,2.4149462497480094,0.42156000687343986,0.5499169039292211,0,0.0061601,1,Manual Control,0.01,0,-1.147930818696237,0.0,0,0,0.31565810594430754,-0.07139631108613556,-0.05241282514677713,-0.5036027213689123,0,0,1.3177451645126128,0.12582413434541861
5062,25.107456000000003,0.3763627999000572,0.45502504143000233,-0.04519720697338264,-0.09489186249921877,2.5922571935191847,0.4240810103768082,0.5560458289849364,0,0.0045588,1,Manual Control,0.01,0,-1.1456541229675588,0.0,0,0,0.3176372130345657,-0.07001487070429031,-0.05309181183011002,-0.5056983956687201,0,0,1.3125233694725662,0.1255745868425872
5063,25.1124562,0.37871899439024953,0.4695102166895144,-0.045362015986558646,-0.08653561229542195,2.743667896693819,0.4268776888349609,0.5625389478114938,0,0.005000200000000001,1,Manual Control,0.01,0,-1.143284522074703,0.0,0,0,0.31964398276869627,-0.0687375309057377,-0.053175350975759754,-0.5212511402399506,0,0,1.307099498415582,0.1253148560502505
5064,25.1175934,0.3810751888804419,0.4738665664453023,-0.045802499954519016,-0.08867238136619154,2.8155730577951075,0.4297841186755617,0.5689354551857069,0,0.005137200000000001,1,Manual Control,0.01,0,-1.1408371872288485,0.0,0,0,0.32167325754845977,-0.06721430284167479,-0.05356668666812944,-0.532285759587135,0,0,1.3015094877642308,0.1250466048774292
5065,25.1224081,0.3834313833706342,0.4819739393386233,-0.046352735304927506,-0.08696151584708356,2.8840954946266866,0.43253725139927024,0.5746543503885085,0,0.0048147,1,Manual Control,0.01,0,-1.1383494335999613,0.0,0,0,0.32371717797033084,-0.06573099951503543,-0.05389872779796107,-0.53860973576825,0,0,1.2958394329773528,0.12477392342161207
5066,25.1274681,0.3856304982281471,0.4738125241597738,-0.04690675317112314,-0.10084182622873472,2.8339769360132743,0.4354595576123266,0.5803518903161597,0,0.00506,1,Manual Control,0.01,0,-1.1357935217398607,0.0,0,0,0.3257948176716035,-0.06423536318391168,-0.05423062552813671,-0.5416915426629206,0,0,1.2900269240262354,0.12449377117548142
5067,25.1323915,0.3879866927183394,0.46401037940000717,-0.047472864893987166,-0.11634151091615258,2.7611195554733223,0.43832983134895187,0.5855636975904159,0,0.0049234000000000005,1,Manual Control,0.01,0,-1.1332551843614964,0.0,0,0,0.3278816364603353,-0.06331649144713627,-0.05475115488212556,-0.5304193714271793,0,0,1.2842673128822093,0.12421554525967925
5068,25.137521300000003,0.3911282853719292,0.468240998734412,-0.047201545977022696,-0.11732269885600394,2.654650654588664,0.44134679284063294,0.5906195769592189,0,0.0051298,1,Manual Control,0.01,0,-1.130536296787604,0.0,0,0,0.3301399017441351,-0.06276673142167026,-0.0551985202965355,-0.5214170410040002,0,0,1.2781123183542296,0.1239175293254472
5069,25.142626000000003,0.3930132409640831,0.5115585093636892,-0.04833355187654986,-0.07906106759552967,2.5809247015461745,0.4443737116926946,0.5952447657854205,0,0.0051047,1,Manual Control,0.01,0,-1.128158981595015,0.0,0,0,0.3320963515630088,-0.06163834506499017,-0.05565935846307204,-0.5431307908790188,0,0,1.2727426877535015,0.12365695297249811
5070,25.1474693,0.39536943545427544,0.4799453347404917,-0.04900427623841913,-0.11529943104492879,2.184717491020532,0.44726648343220676,0.5992342960005764,0,0.0048433,1,Manual Control,0.01,0,-1.1255509455314785,0.0,0,0,0.33423186139375877,-0.060053972264688935,-0.05628053886028944,-0.5225995355539266,0,0,1.2668649309868052,0.12337108741797904
5071,25.153106800000003,0.39756855031178834,0.46271060010606146,-0.049697933120418425,-0.13652369589451496,1.8279727640294774,0.4506565611443264,0.6033580963807312,0,0.0056375,1,Manual Control,0.01,0,-1.1230781111092214,0.0,0,0,0.33637502724041574,-0.0595892860500731,-0.05675748843243609,-0.4935100296247016,0,0,1.2613044436526566,0.12310004124908759
5072,25.157282700000003,0.40023890406733964,0.46667520665237294,-0.050417657076986755,-0.1366828897283583,1.5180049746710453,0.4531818233143444,0.6060321403260489,0,0.004175900000000001,1,Manual Control,0.01,0,-1.120675515853549,0.0,0,0,0.3385421038308596,-0.05977366408872704,-0.05779541918565908,-0.46763421254766485,0,0,1.2559136118336183,0.1228366939608157
5073,25.162362700000003,0.40259509855753195,0.48230595936214954,-0.05058672475681247,-0.12372618096389937,1.2362631310958159,0.45626777974029714,0.6088253234639147,0,0.00508,1,Manual Control,0.01,0,-1.1182967256995344,0.0,0,0,0.34071873271083153,-0.05960278881017478,-0.05786195807247886,-0.4654825859063246,0,0,1.2505875667102997,0.12257595593806775
5074,25.167546400000003,0.4052654523130833,0.49054500933855255,-0.051002327427213834,-0.11828031412536216,1.0183745293509552,0.4594299652171216,0.6111302264181827,0,0.0051837,1,Manual Control,0.01,0,-1.1157563532005055,0.0,0,0,0.343088821035084,-0.0591505295148189,-0.05838069766199458,-0.45305402277442475,0,0,1.2449122397072911,0.12229750695368709
5075,25.172736500000003,0.4076216468032756,0.4737110131413744,-0.05180831841384598,-0.13741921327680828,0.7546727694692126,0.46260653577010064,0.6128594627839719,0,0.0051901000000000004,1,Manual Control,0.01,0,-1.1134512792665392,0.0,0,0,0.3452680499082343,-0.058714980981021285,-0.05914423903002688,-0.4420659531649184,0,0,1.2397737513002927,0.12204484892968447
5076,25.177857600000003,0.4095066023954295,0.4792836529312542,-0.053099933374671116,-0.13357580985271766,0.6476593890263086,0.4657481574205185,0.6139726064345455,0,0.0051211,1,Manual Control,0.01,0,-1.1113620909611157,0.0,0,0,0.34729162692067655,-0.058821956048912265,-0.05994970593613856,-0.43072407675644675,0,0,1.2351256972254632,0.12181585402360377
