,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,torque,measured_human_input,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,input_estimation_error,state_estimate_derivative,estimated_human_input,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
863,6.7582612000000015,-0.16336281798666924,-0.6834011229704504,0.06672026660394095,0.13591918475743836,-4.13919715529069,-0.23646452365245257,-0.8371111646168976,0,0.0077045,0,Validation,0.005,Good Visuals,-0.4076507569293935,-0.04453585569404935,1.0158841634972626,-0.19505222829654742,3.5702273729830205,0.574727310173271,-0.2092260713887699,-1.1904056081670882,0.004611800585827785,0,-0.039924055108221605,20.0,0.1,8.285895530240303,-0.40304762561197505
864,6.766058000000001,-0.16933184402848986,-0.7362393502977251,0.06713267962396272,0.10087181431917247,-5.120916489801786,-0.24305930257730243,-0.8544254586968624,0,0.0077968,0,Validation,0.005,Good Visuals,-0.39287661404282226,-0.12964856254208412,1.0176960348060242,-0.19498451658613103,3.5696646779137473,0.5746614950141768,-0.2155414821788438,-1.2170147605176647,0.08247381125599532,0,-0.047174751286088765,20.0,0.1,8.301372395859792,-0.403108012046514
865,6.774835300000001,-0.17545794970298995,-0.7528829579286427,0.06760135287431249,0.10154250076821969,-4.612348998106617,-0.2506412704467371,-0.8730385964248508,0,0.0087773,0,Validation,0.005,Good Visuals,-0.38376390461100507,-0.1585030650560918,1.0210335608166479,-0.19488421989960109,3.5671631183103707,0.574393696996691,-0.2221538532472923,-1.242419342694577,0.10753755894271842,0,-0.05096550611337343,20.0,0.1,8.326896053718434,-0.40319535158611236
866,6.7825667,-0.181898214642849,-0.7719552660310107,0.06874305580388812,0.1010833303938401,-4.674178915746838,-0.25745185208584265,-0.8886211664260814,0,0.0077314,0,Validation,0.005,Good Visuals,-0.39861499542674705,-0.1144746104099318,1.0232315041462308,-0.19481596856587832,3.5650963542481637,0.5741766667274181,-0.22973285061600768,-1.2684258919119706,0.06394570229018315,0,-0.05052890811974865,20.0,0.1,8.342840521044543,-0.4032340805385971
867,6.791281100000001,-0.18912387774610553,-0.8075809937283096,0.06832797433973711,0.08104017269777175,-5.185990699814141,-0.26526878817721766,-0.9052246427484373,0,0.0087144,0,Validation,0.005,Good Visuals,-0.38731384265851787,-0.17470344854892675,1.026716499029493,-0.19471775184919193,3.5629374818983544,0.573949080806447,-0.2365889484896394,-1.2920517209888538,0.11981314222093047,0,-0.05489030632799641,20.0,0.1,8.37040016473065,-0.40335455490316613
868,6.7991618,-0.19509290378792615,-0.8398419245806159,0.07017588438929151,0.06538271816782137,-5.952423557439156,-0.27245875834016714,-0.9193220765773777,0,0.007880700000000001,0,Validation,0.005,Good Visuals,-0.383802008406131,-0.23514201308332885,1.0309414785703859,-0.1946222228308606,3.5601518403351733,0.5736718845543806,-0.24446964299913823,-1.3148613863649394,0.17559784955619165,0,-0.05954416352713723,20.0,0.1,8.403456736657342,-0.40353217726267654
869,6.8077006,-0.20294688542190062,-0.8381377033064157,0.06951187291826652,0.08118437327096206,-4.439057655597142,-0.2803703009048723,-0.9335683566253674,0,0.008538800000000001,0,Validation,0.005,Good Visuals,-0.3912070998305508,-0.17595825885765504,1.0358896032097342,-0.19452263546689347,3.555819515488696,0.5732649917125141,-0.25171222729181064,-1.3362183048358267,0.1170576319275663,0,-0.058900626930088795,20.0,0.1,8.43994020400805,-0.4037250019843808
870,6.815133600000001,-0.20923007072908023,-0.8838625019807178,0.07114023017579207,0.049705854644649605,-4.581593741721658,-0.28735280126517654,-0.9450638480107533,0,0.007433,0,Validation,0.005,Good Visuals,-0.3863107170528779,-0.2025773478842232,1.0392743987819204,-0.19445223477357548,3.5533702470510296,0.5730249875164636,-0.2597063854744111,-1.3561469994479358,0.13903174257535048,0,-0.06354560530887282,20.0,0.1,8.465944730270568,-0.4038688044087503
871,6.824192700000001,-0.21645573383233674,-0.8959401325446029,0.0708970674328398,0.04912371546615035,-3.562403960299956,-0.2959733612669487,-0.9578891571907974,0,0.0090591,0,Validation,0.005,Good Visuals,-0.38447232621899874,-0.14917514468062928,1.0424268669863355,-0.19440616734248126,3.5504384877895725,0.5727614896919705,-0.2667472192163484,-1.3736612432211361,0.08318219581743792,0,-0.06599294886319147,20.0,0.1,8.48879871152332,-0.40401370783124435
872,6.830215500000001,-0.2232101580375548,-0.9330969206374186,0.07276320322939386,0.02479223655337881,-3.558340749505191,-0.301766301391605,-0.9656714379044381,0,0.0060228,0,Validation,0.005,Good Visuals,-0.38060025974249245,-0.17678263654747925,1.045182083813684,-0.19437248867015106,3.5485056409437488,0.5725903673546145,-0.27543963803822225,-1.3920624259650582,0.1056043221419903,0,-0.07117831440548898,20.0,0.1,8.510074628777513,-0.40417232002466075
873,6.8375345,-0.23074998040617029,-0.9382889770985781,0.0710163209854347,0.027382460805860043,-2.3980400164615374,-0.30886623113165446,-0.9743034518583539,0,0.007319000000000001,0,Validation,0.005,Good Visuals,-0.37616590128491567,-0.12289890313893655,1.0473923456333079,-0.1943559677040195,3.546336597974198,0.5724127973731936,-0.2812952447165699,-1.4055793586229266,0.05084124039522594,0,-0.07205766274371056,20.0,0.1,8.525842341206124,-0.4042981478083868
874,6.844692500000001,-0.23750440461138833,-0.9538241655821524,0.07136182652026613,0.020479286276201436,-1.9091115248874115,-0.3158678616400699,-0.9818465287009734,0,0.007158,0,Validation,0.005,Good Visuals,-0.3703929315696848,-0.13446353057027519,1.0490469343351367,-0.19434451150072113,3.5450742269530933,0.5723099786040929,-0.2885695390948032,-1.418341876246753,0.060874167446289484,0,-0.07358936312398567,20.0,0.1,8.538397969989244,-0.40440528770647993
875,6.852615700000001,-0.24645794367411925,-0.9442244011065659,0.06940991796595067,0.03762212759440753,-0.7818732353937443,-0.32367687000025386,-0.9891307276925776,0,0.0079232,0,Validation,0.005,Good Visuals,-0.3824599125504804,-0.03744982380368732,1.0491202518589615,-0.1943468898863751,3.5439910854810255,0.5722244722357857,-0.2957606828677655,-1.4305892926804267,-0.03307754430272818,0,-0.07052736810641555,20.0,0.1,8.536798943232146,-0.40438248369848784
876,6.8608601,-0.2533694475120168,-0.9906678037199276,0.07030742248823707,-0.0015370760273499817,-1.171868868696804,-0.33185877822310794,-0.9954900275283786,0,0.0082444,0,Validation,0.005,Good Visuals,-0.36754333200037165,-0.0988743201784655,1.0492777801011137,-0.1943471777501858,3.5445445829581748,0.5722711098193844,-0.30386096743217406,-1.4401883859181668,0.025176039776574965,0,-0.07369828040189061,20.0,0.1,8.539407602765483,-0.4044164862298574
877,6.868497300000001,-0.26169466804402974,-1.013982940614162,0.0701641101790782,-0.01849291308578349,-1.3959417397011729,-0.3394804229804331,-1.000242200343453,0,0.0076372,0,Validation,0.005,Good Visuals,-0.36439410440268427,-0.06369958704918567,1.049477602865926,-0.1943474013623434,3.54398731150225,0.5722296770966389,-0.31227326185038556,-1.4495872750634393,-0.014083514866869531,0,-0.07778310191605517,20.0,0.1,8.540073855442488,-0.4044203266314315
878,6.875886000000001,-0.2687632515146068,-1.0298162863384797,0.07071717146582635,-0.029574085995026644,-1.2614114638119758,-0.34688464512341116,-1.0037730878103557,0,0.007388700000000001,0,Validation,0.005,Good Visuals,-0.3458540462074677,-0.16614670306166968,1.0512988236046403,-0.19436100728787958,3.543535391715161,0.5722004866046719,-0.32015997566706783,-1.4566270796677367,0.08216868335791415,0,-0.0839780197037556,20.0,0.1,8.555858393935615,-0.4046064457263402
