,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,virtual_human_torque,state_estimate_derivative,virtual_human_gain_pos,virtual_human_gain_vel,virtual_human_cost_pos,virtual_human_cost_vel,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
951,11.877584300000002,-0.9842609783696822,-0.1056105749306889,0.06647010429903,-0.2336600315062671,2.940277312881105,-1.0491598170953045,0.15828501361111375,0,0.010968400000000001,-0.16142253807502488,0.995925073047057,0.21280359284078113,5.285866223831343,0.8879202989656518,-0.9911180787748729,-0.1434656772569532,-0.015705365946257002,[-0.05210207],-0.020896412255026538,"[[-0.09839912]
 [ 2.64542218]]",1.047284642148881,0.20494798399182912,11.99999999999967,0.49999999999998623,38.474309140409076,1.4742119020926818,11.520520161296188,0.5268313624441531
952,11.889928100000002,-0.9850463765330796,-0.056738078602161304,0.0641134405622249,-0.21502309221327504,3.0244185529155407,-1.0470025298691312,0.19100849669684156,0,0.0123438,-0.16465899291022745,0.9934454613148125,0.2145845699502698,5.289372775364971,0.8857709145539414,-0.9922014097120287,-0.10611186811609494,-0.01625885353786176,[-0.08786038],-0.02170180303457893,"[[-0.05569376]
 [ 2.1586206 ]]",1.0472846421488773,0.2049479839918284,11.999999999999627,0.49999999999998446,38.49545776802718,1.469744097603535,11.496340638383927,0.5318855791106831
953,11.9034644,-0.985203456165759,-0.02149491023518737,0.06179907370337223,-0.21250340693202893,3.0993326332427027,-1.0441837147115558,0.22515837789246865,0,0.013536300000000001,-0.14950278707871822,0.9902886877036163,0.21687850051415022,5.294321358937182,0.8827592709243476,-0.9927258219132098,-0.07233534446094189,-0.013057760946853486,[-0.09710969],-0.019047238359648784,"[[-0.0200009 ]
 [ 2.02691221]]",1.0472846421488726,0.20494798399182748,11.999999999999572,0.4999999999999822,38.524769261997136,1.4635218150077018,11.466484786640008,0.5382727408452703
954,11.918147000000001,-0.9847322172677205,0.03356917056447259,0.059451497443835266,-0.19158920732799606,3.2303095704918445,-1.040619317172375,0.2599649379577008,0,0.0146826,-0.1499060023748739,0.986677135629264,0.2195236795024954,5.299662927715484,0.8794366599544083,-0.9927214699053628,-0.04368979875245251,-0.012854946446718689,[-0.13328729],-0.019278607827084196,"[[0.01432142]
 [1.75537888]]",1.0472846421488666,0.20494798399182632,11.999999999999504,0.49999999999997935,38.55662584392458,1.4566513171823283,11.431644244611393,0.5456794711423046
955,11.932171100000001,-0.9842609783696822,0.03406587309308525,0.05635833880269281,-0.22589906486461556,3.10792038364824,-1.0367540970907119,0.290864600207589,0,0.014024100000000001,-0.11631368707448933,0.9829902788540859,0.22219888371289118,5.30549512694309,0.876007565129401,-0.9923980328342957,-0.02059517686192961,-0.006083798848273023,[-0.11370487],-0.013243058912720235,"[[0.03333073]
 [2.16068019]]",1.0472846421488602,0.20494798399182507,11.999999999999432,0.49999999999997624,38.591141635591114,1.4495444298248499,11.396770156907198,0.553121951203996
956,11.944241600000002,-0.9836326598389642,0.05857557002470712,0.05312143725174767,-0.23228903018288186,3.0006309155579225,-1.0330926439490915,0.3155029169041027,0,0.012070500000000001,-0.07288391052012641,0.9811645380991666,0.22378681267084938,5.309317103144989,0.8733545910970576,-0.9918094351861783,0.006423737374973702,0.002686606056507612,[-0.06812563],-0.005306251779456088,"[[0.06463051]
 [2.52451658]]",1.047284642148854,0.2049479839918238,11.999999999999357,0.49999999999997324,38.6129941654314,1.4442023834651816,11.381311177081868,0.5572128666678089
957,11.9566987,-0.9825331024102077,0.07855962198858038,0.05055954153888376,-0.23694329491552232,2.706401788959496,-1.029014317349616,0.33893027569704715,0,0.0124571,-0.06348264798905753,0.979175460247635,0.2256499212140386,5.312620135771057,0.8707864658889651,-0.9905744923313395,0.041232877833979054,0.004499426882586463,[-0.06649021],-0.003782728511594176,"[[0.100697  ]
 [2.22971439]]",1.0472846421488464,0.20494798399182235,11.999999999999272,0.4999999999999697,38.63279003115699,1.4389681328559911,11.362759115080125,0.5622266607758891
958,11.9699123,-0.9809623060834128,0.0906492866928316,0.048052011266203176,-0.24828098900421555,2.3212055898285575,-1.024384292898996,0.3614605276039957,0,0.0132136,-0.03315203900116184,0.9783158562764511,0.22650785553154187,5.314371666174669,0.8693579525307245,-0.9888414834008065,0.07666402666962761,0.01022491542753956,[-0.02641],0.001590288018894992,"[[0.13163434]
 [2.25018457]]",1.0472846421488373,0.20494798399182057,11.999999999999169,0.49999999999996536,38.64273030929294,1.4361377955717731,11.355370048971889,0.5644137537267704
959,11.984168,-0.979705669021977,0.114222227280035,0.04467862387701893,-0.2472383003239607,2.118261744326588,-1.0190745173526454,0.3829828942185512,0,0.014255700000000001,-0.008283526163694932,0.9781769987629606,0.2266371518407785,5.31480479249648,0.8689966959251673,-0.987220486884351,0.10250003296163913,0.014415133612966341,[-0.00212572],0.0058207482535723165,"[[0.15618093]
 [2.35481115]]",1.0472846421488262,0.2049479839918184,11.99999999999904,0.49999999999996003,38.64493194280613,1.4354659089908988,11.354469842779324,0.564677921329999
960,11.9951844,-0.9782919523278615,0.12169624059979225,0.040782565024783946,-0.2612866536187589,1.8938204696543224,-1.014773405503028,0.3975723460856555,0,0.0110164,0.03321254923664321,0.9785890964328039,0.22606241629239904,5.314529834892773,0.8693404007233216,-0.9854548322031238,0.12928620008255276,0.02160561253481668,[0.04503322],0.013043712855483724,"[[0.17847412]
 [2.69943779]]",1.0472846421488167,0.20494798399181652,11.99999999999893,0.4999999999999554,38.643071961636515,1.436197623376081,11.359118517842965,0.5629543443126667
961,12.0068545,-0.9765640763683872,0.14253073792402882,0.03820932913464081,-0.2550416081616267,1.7359309796836642,-1.0100531143140956,0.41103803836880354,0,0.011670100000000001,0.04058936681664669,0.9793202389952566,0.22506170404617634,5.31334856244179,0.87068963372551,-0.9832010718707976,0.1582133993742752,0.0217979192732725,[0.04378533],0.013921336467436297,"[[0.20338159]
 [2.43797158]]",1.0472846421488051,0.20494798399181424,11.999999999998797,0.49999999999994993,38.6361100994041,1.4388816499026116,11.36600769857692,0.560289448643751
962,12.0175561,-0.9740508022455153,0.17688555003001538,0.03600231206858029,-0.23415248833878816,1.6363946749343141,-1.0055964949420053,0.42155654950267263,0,0.0107016,0.03306522689678506,0.9801779972694221,0.2238170542132293,5.311773699226577,0.8726050052970258,-0.9799990278554586,0.19057233338446064,0.018954372352550687,[0.02086611],0.01202633865100438,"[[0.23315339]
 [1.85882969]]",1.0472846421487931,0.2049479839918119,11.99999999999866,0.49999999999994427,38.62683839512689,1.4426690582633834,11.373716319243687,0.5570820617067376
963,12.0316237,-0.9709092095919255,0.2051878045864608,0.03468728535007981,-0.21636874491621183,1.6317642817217177,-0.9995843198011107,0.43268500062271054,0,0.014067600000000001,0.02181696814119393,0.9803719807051664,0.2235368317218983,5.311289557309981,0.8731810025199228,-0.9765447436117453,0.21386917067040082,0.015917044144122684,[-0.00839709],0.009595576967493101,"[[0.2536401 ]
 [1.36979447]]",1.0472846421487754,0.20494798399180847,11.999999999998458,0.49999999999993583,38.62428226623976,1.443747590044869,11.375208147349078,0.5564236842571875
964,12.045625300000001,-0.9687100947344126,0.20979066756720754,0.030874225066698124,-0.222894333055503,1.5867232229686583,-0.9934664002408187,0.44069197843101926,0,0.014001600000000001,0.04684093369807104,0.9803780680498775,0.22350602010190526,5.311394644781713,0.8730862835519485,-0.9737741787474068,0.22992629542245868,0.019841970673736227,[0.0099603],0.013741454707441807,"[[0.2646954 ]
 [1.61703276]]",1.0472846421487554,0.20494798399180453,11.999999999998227,0.49999999999992617,38.62480810241457,1.4435765117263402,11.375490797316335,0.5562822825302636
965,12.057288400000001,-0.9655685020808228,0.25106001053539817,0.027897898159995882,-0.1896319678956211,1.6952780982440345,-0.9882992712059119,0.4450175888014807,0,0.011663100000000001,0.04787199778121204,0.9805514035992187,0.22322438965349992,5.310999997524277,0.8736174368395033,-0.9703419696485805,0.24930671453749703,0.01904564720040718,[-0.00637001],0.013484556507961428,"[[0.2855174 ]
 [1.39069885]]",1.0472846421487363,0.20494798399180078,11.999999999998009,0.49999999999991707,38.622389888429225,1.4446518500643264,11.376898059276153,0.5556011973454319
966,12.0689369,-0.9614844316311562,0.2585625605345455,0.026814839574755722,-0.18645502826693516,1.6446644931313779,-0.9831006192952259,0.44721772772333834,0,0.011648500000000001,0.03941722473988048,0.9801494469494489,0.22380831912825125,5.311562056783831,0.8729301124694537,-0.9660674940538975,0.26638459128716496,0.016847969673117268,[-0.02826887],0.011629807930435016,"[[0.29784124]
 [1.03240103]]",1.0472846421487145,0.20494798399179656,11.999999999997762,0.49999999999990674,38.62604231712944,1.4432120032454492,11.37294216314401,0.5572028247845106
